company_name,fiscal_year,capex_billions,revenue_billions
Meta,2020,15.115,85.965
Meta,2021,18.567,117.929
Meta,2022,31.4,116.609
Meta,2023,27.045,134.9
Meta,2024,37.256,164.5
Meta,2025,69.691,200.97
Microsoft,2020,15.441,143.015
Microsoft,2021,20.622,168.088
Microsoft,2022,23.886,198.27
Microsoft,2023,28.107,211.92
Microsoft,2024,44.477,245.12
Microsoft,2025,64.551,281.72
Google,2020,22.28,182.527
Google,2021,24.64,257.637
Google,2022,31.5,282.836
Google,2023,32.251,307.39
Google,2024,52.535,350.02
Google,2025,91.447,402.96
Amazon,2020,40.14,386.064
Amazon,2021,61.053,469.822
Amazon,2022,63.645,513.983
Amazon,2023,52.729,574.785
Amazon,2024,82.999,637.959
Amazon,2025,131.8,716.9
